Monster	Level	Role	Source	Page	Rank	Base Role
Foulspawn Berserker	9	Soldier	Monster Manual 1	112	Standard	Soldier
Gargoyle	9	Lurker	Monster Manual 1	115	Standard	Lurker
Grick Alpha	9	Brute	Monster Manual 1	145	Standard	Brute
Quickling Runner	9	Skirmisher	Monster Manual 1	215	Standard	Skirmisher
Shambling Mound	9	Brute	Monster Manual 1	232	Standard	Brute
Snaketongue Assassin (Yuan-Ti)	9	Lurker	Monster Manual 1	273	Standard	Lurker
Unicorn	9	Skirmisher	Monster Manual 1	257	Standard	Skirmisher
Worg	9	Brute	Monster Manual 1	265	Standard	Brute
Flux Slaad	9	Skirmisher	Monster Manual 2	184	Standard	Skirmisher
Gnome Wolverine	9	Skirmisher	Monster Manual 2	129	Standard	Skirmisher
Goliath Guardian	9	Soldier	Monster Manual 2	136	Standard	Soldier
Human Dire Beast Hunter	9	Artillery	Monster Manual 2	145	Standard	Artillery
Human Pirate	9	Skirmisher	Monster Manual 2	148	Standard	Skirmisher
Troglodyte Deepscourge	9	Artillery	Monster Manual 2	200	Standard	Artillery
Troglodyte Temple Champion	9	Soldier	Monster Manual 2	201	Standard	Soldier
Witherling Rabble	9	Minion Skirmisher	Monster Manual 2	213	Minion	Skirmisher
Xorn	9	Skirmisher	Monster Manual 2	215	Standard	Skirmisher
Young Gold Dragon	9	Solo Controller	Monster Manual 2	81	Solo	Controller
Cambion Wrath born	9	Skirmisher	Monster Manual 3	24	Standard	Skirmisher
Fist of the Stone Tyrant	9	Soldier	Monster Manual 3	163	Standard	Soldier
Howler Dread Hound	9	Minion Controller	Monster Manual 3	110	Minion	Controller
Meenlock S	9	Controller	Monster Manual 3	132	Standard	Controller
Nagpa Corruptor	9	Controller	Monster Manual 3	142	Standard	Controller
Ogre Ironclad	9	Soldier	Monster Manual 3	158	Standard	Soldier
Spirehorn Behemoth	9	Elite Brute	Monster Manual 3	21	Elite	Brute
Verbeeg Rowdy	9	Skirmisher	Monster Manual 3	200	Standard	Skirmisher
Young Earthquake Dragon	9	Elite Soldier	Monster Manual 3	69	Elite	Soldier
Incubus	9	Lurker	Demonomicon	118	Standard	Lurker
Brown Dragon, Adult	10	Solo Lurker	Draconomicon 1	170	Solo	Lurker
Razcoreth	10	Solo Skirmisher	Draconomicon 1	116	Solo	Skirmisher
Squamous Maw	10	Elite Soldier	Draconomicon 1	231	Elite	Soldier
Three-Tooth (Kobold)	10	Elite Artillery	Draconomicon 2	201	Elite	Artillery
Berbalang	10	Solo Skirmisher	Monster Manual 1	34	Solo	Skirmisher
Blade Spider	10	Brute	Monster Manual 1	246	Standard	Brute
Bog Hag	10	Skirmisher	Monster Manual 1	150	Standard	Skirmisher
Dark Stalker (Dark One)	10	Lurker	Monster Manual 1	49	Standard	Lurker
Dragonborn Gladiator	10	Soldier	Monster Manual 1	86	Standard	Soldier
Ettin Marauder	10	Elite Soldier	Monster Manual 1	108	Elite	Soldier
Feymire Crocodile	10	Elite Soldier	Monster Manual 1	45	Elite	Soldier
Gibbering Mouther	10	Controller	Monster Manual 1	126	Standard	Controller
Magma Strider (Magma Beast)	10	Skirmisher	Monster Manual 1	182	Standard	Skirmisher
Manticore	10	Elite Skirmisher	Monster Manual 1	184	Elite	Skirmisher
Medusa Archer	10	Elite Controller	Monster Manual 1	186	Elite	Controller
Minotaur Warrior	10	Soldier	Monster Manual 1	190	Standard	Soldier
Oni Mage	10	Elite Lurker	Monster Manual 1	201	Elite	Lurker
Sahuagin Baron	10	Elite Brute	Monster Manual 1	224	Elite	Brute
Venom-eye Basilisk	10	Artillery	Monster Manual 1	26	Standard	Artillery
Wyvern	10	Skirmisher	Monster Manual 1	268	Standard	Skirmisher
Fleshtearer Shark	10	Brute	Monster Manual 2	182	Standard	Brute
Genasi Stoneshield	10	Soldier	Monster Manual 2	117	Standard	Soldier
Human Pirate Captain	10	Soldier	Monster Manual 2	148	Standard	Soldier
Neogi Slaver	10	Controller	Monster Manual 2	166	Standard	Controller
Neogi Spawn Swarm	10	Brute	Monster Manual 2	166	Standard	Brute
Scytheclaw Drake	10	Skirmisher	Monster Manual 2	88	Standard	Skirmisher
Tomb Spider Broodswarm	10	Lurker	Monster Manual 2	191	Standard	Lurker
Awakened Rot Grub Swarm	10	Brute	Monster Manual 3	167	Standard	Brute
Blue Arcanian	10	Controller	Monster Manual 3	17	Standard	Controller
Catoblepas Harbinger	10	Elite Controller	Monster Manual 3	27	Elite	Controller
Chained Cambion	10	Controller	Monster Manual 3	25	Standard	Controller
Foulspawn Mockery	10	Controller	Monster Manual 3	89	Standard	Controller
Scarecrow Shambler	10	Minion Brute	Monster Manual 3	168	Minion	Brute
Sea Kraken	10	Solo Soldier	Monster Manual 3	122	Solo	Soldier
Shardmind Executioner	10	Lurker	Monster Manual 3	175	Standard	Lurker
Wood Nymph	10	Soldier	Monster Manual 3	152	Standard	Soldier
Young Volcanic Dragon	10	Elite Brute	Monster Manual 3	72	Elite	Brute
Jovoc	10	Skirmisher	Demonomicon	121	Standard	Skirmisher
Arachnid Horror	10	Minion Soldier	Demonomicon	109	Minion	Soldier
Scion of Zuggtmoy Overgrowth	10	Soldier	Demonomicon	142	Standard	Soldier
Frostforged Wyrm, Adult	11	Brute	Draconomicon 1	188	Standard	Brute
Rotclaw	11	Brute	Draconomicon 1	205	Standard	Brute
Stoneborn Dracolich	11	Solo Soldier	Draconomicon 1	201	Solo	Soldier
Adult Black Dragon	11	Solo Lurker	Monster Manual 1	75	Solo	Lurker
Banshrae Dartswarmer	11	Artillery	Monster Manual 1	25	Standard	Artillery
Dire Bear	11	Elite Brute	Monster Manual 1	29	Elite	Brute
Drow Warrior	11	Lurker	Monster Manual 1	94	Standard	Lurker
Foulspawn Seer	11	Artillery	Monster Manual 1	113	Standard	Artillery
Galeb Duhr Rockcaller	11	Controller	Monster Manual 1	114	Standard	Controller
Githzerai Cenobite	11	Soldier	Monster Manual 1	130	Standard	Soldier
Grimlock Ambusher	11	Skirmisher	Monster Manual 1	148	Standard	Skirmisher
Iron Gorgon	11	Soldier	Monster Manual 1	143	Standard	Soldier
Mezzodemon (Demon)	11	Soldier	Monster Manual 1	58	Standard	Soldier
Ogre Warhulk	11	Elite Brute	Monster Manual 1	199	Elite	Brute
Snaketongue Celebrant	11	Controller	Monster Manual 1	273	Standard	Controller
Spirit Devourer	11	Elite Soldier	Monster Manual 1	68	Elite	Soldier
Stormrage Shambler	11	Elite Controller	Monster Manual 1	232	Elite	Controller
Vampire Lord	11	Elite Lurker	Monster Manual 1	258	Elite	Lurker
Adult Iron Dragon	11	Solo Lurker	Monster Manual 2	84	Solo	Lurker
Deva Knight-Errant	11	Soldier	Monster Manual 2	62	Standard	Soldier
Direguard Assassin	11	Skirmisher	Monster Manual 2	70	Standard	Skirmisher
Duergar Fleshtearer	11	Lurker	Monster Manual 2	93	Standard	Lurker
Eladrin Bladesinger	11	Skirmisher	Monster Manual 2	97	Standard	Skirmisher
Firbolg Hounder	11	Soldier	Monster Manual 2	108	Standard	Soldier
Genasi Fireblade	11	Brute	Monster Manual 2	116	Standard	Brute
Slaughterstone Slicer	11	Elite Brute	Monster Manual 2	187	Elite	Brute
Tomb Spider	11	Elite Controller	Monster Manual 2	190	Elite	Controller
Weretiger (Lycanthrope)	11	Elite Skirmisher	Monster Manual 2	159	Elite	Skirmisher
Meenlock Corruptor	11	Lurker	Monster Manual 3	133	Standard	Lurker
Ogre Storm Shaman	11	Controller	Monster Manual 3	159	Standard	Controller
Pact Hag	11	Controller	Monster Manual 3	108	Standard	Controller
Kuo-Toa Warder	11	Minion Artillery	Underdark	148	Minion	Artillery
Scion of Zuggtmoy Infector	11	Artillery	Demonomicon	143	Standard	Artillery
Bulezau	11	Brute	Demonomicon	107	Standard	Brute
Scion of Juiblex Sludge Dredge	11	Minion Brute	Demonomicon	149	Minion	Brute
Blight Dragon, Adult	12	Elite Controller	Draconomicon 1	198	Elite	Controller
Gray Dragon, Adult	12	Solo Soldier	Draconomicon 1	174	Solo	Soldier
Cobalt Dragon, Adult	12	Solo Controller	Draconomicon 2	162	Solo	Controller
Liondrake	12	Skirmisher	Draconomicon 2	194	Standard	Skirmisher
Adult Green Dragon	12	Solo Controller	Monster Manual 1	80	Solo	Controller
Banshrae Warrior	12	Skirmisher	Monster Manual 1	25	Standard	Skirmisher
Battle Wight Commander	12	Soldier	Monster Manual 1	262	Standard	Soldier
Dusk Unicorn	12	Elite Controller	Monster Manual 1	257	Elite	Controller
Ettin Spirit-Talker	12	Elite Controller	Monster Manual 1	108	Elite	Controller
Fen Hydra	12	Solo Brute	Monster Manual 1	164	Solo	Brute
Feygrove Choker	12	Lurker	Monster Manual 1	42	Standard	Lurker
Fire Archon Emberguard	12	Brute	Monster Manual 1	18	Standard	Brute
Flesh Golem	12	Elite Brute	Monster Manual 1	142	Elite	Brute
Foulspawn Hulk	12	Brute	Monster Manual 1	113	Standard	Brute
Githyanki Warrior	12	Soldier	Monster Manual 1	128	Standard	Soldier
Guardian Naga	12	Elite Artillery	Monster Manual 1	194	Elite	Artillery
Kuo-Toa Marauder	12	Skirmisher	Monster Manual 1	172	Standard	Skirmisher
Lamia	12	Elite Controller	Monster Manual 1	174	Elite	Controller
Redspawn Firebelcher	12	Artillery	Monster Manual 1	88	Standard	Artillery
Stirge Swarm	12	Brute	Monster Manual 1	248	Standard	Brute
Stone-eye Basilisk	12	Soldier	Monster Manual 1	26	Standard	Soldier
Umber Hulk	12	Elite Soldier	Monster Manual 1	256	Elite	Soldier
Viscera Devourer	12	Controller	Monster Manual 1	68	Standard	Controller
Wailing Ghost (Banshee)	12	Controller	Monster Manual 1	117	Standard	Controller
Bone Golem	12	Elite Brute	Monster Manual 2	133	Elite	Brute
Centaur Hunter	12	Artillery	Monster Manual 2	30	Standard	Artillery
Centaur Ravager	12	Brute	Monster Manual 2	30	Standard	Brute
Duergar Hellcaller	12	Artillery	Monster Manual 2	94	Standard	Artillery
Firbolg Hunter	12	Skirmisher	Monster Manual 2	108	Standard	Skirmisher
Lolthbound Goblin Slave	12	Minion Skirmisher	Monster Manual 2	131	Minion	Skirmisher
Needle Demon	12	Controller	Monster Manual 2	56	Standard	Controller
Oni Overlord	12	Elite Brute	Monster Manual 2	170	Elite	Brute
Phoelarch Mage	12	Elite Artillery	Monster Manual 2	174	Elite	Artillery
Phoelarch Warrior	12	Elite Skirmisher	Monster Manual 2	174	Elite	Skirmisher
Phoera (Phoelarch)	12	Elite Skirmisher	Monster Manual 2	175	Elite	Skirmisher
Adult Blizzard Dragon	12	Elite Controller	Monster Manual 3	66	Elite	Controller
Cloaker Ambusher	12	Lurker	Monster Manual 3	34	Standard	Lurker
Foulspawn Warpcaller	12	Controller	Monster Manual 3	89	Standard	Controller
Mossling Creeper	12	Minion Skirmisher	Monster Manual 3	156	Minion	Skirmisher
Mossling Grower	12	Minion Controller	Monster Manual 3	157	Minion	Controller
Mossling Hurler	12	Minion Artillery	Monster Manual 3	156	Minion	Artillery
MosslingGuardian	12	Minion Soldier	Monster Manual 3	155	Minion	Soldier
Norker tone Shield	12	Soldier	Monster Manual 3	148	Standard	Soldier
Oblivion Moss Mindmaster	12	Elite Controller	Monster Manual 3	155	Elite	Controller
Pale Bloodflend	12	Brute	Monster Manual 3	140	Standard	Brute
Su Alpha	12	Brute	Monster Manual 3	189	Standard	Brute
Kuo-Toa Spearflend	12	Brute	Underdark	148	Standard	Brute
Scion of Zuggtmoy Spore Lord	12	Skirmisher	Demonomicon	143	Standard	Skirmisher
Dregchogmon	12	Elite Soldier	Demonomicon	111	Elite	Soldier
Spawn of Juiblex Ooze Horror	12	Soldier	Demonomicon	148	Standard	Soldier
Tomb Demon Constrictor	12	Soldier	Demonomicon	150	Standard	Soldier
Greenspawn Razorfiend	13	Elite Skirmisher	Draconomicon 1	219	Elite	Skirmisher
Pact Dragon, Adult	13	Skirmisher	Draconomicon 1	191	Standard	Skirmisher
Purple Dragon, Adult	13	Solo Controller	Draconomicon 1	177	Solo	Controller
Swarmtongue Hydra	13	Elite Skirmisher	Draconomicon 1	213	Elite	Skirmisher
Mercury Dragon, Adult	13	Solo Lurker	Draconomicon 2	164	Solo	Lurker
Orium Dragon, Adult	13	Solo Soldier	Draconomicon 2	170	Solo	Soldier
Priest	13	Artillery	Draconomicon 2	120	Standard	Artillery
Sand Knives Bandit	13	Minion Soldier	Draconomicon 2	203	Minion	Soldier
Vaporous Serpent, Adult	13	Minion Brute	Draconomicon 2	170	Minion	Brute
Adult Blue Dragon	13	Solo Artillery	Monster Manual 1	78	Solo	Artillery
Balhannoth	13	Elite Lurker	Monster Manual 1	24	Elite	Lurker
Beholder Eye of Flame	13	Elite Artillery	Monster Manual 1	32	Elite	Artillery
Briar Witch Dryad	13	Elite Controller	Monster Manual 1	96	Elite	Controller
Displacer Beast Packlord	13	Elite Skirmisher	Monster Manual 1	70	Elite	Skirmisher
Dragonborn Raider	13	Skirmisher	Monster Manual 1	86	Standard	Skirmisher
Drow Arachnomancer	13	Artillery	Monster Manual 1	94	Standard	Artillery
Drow Blademaster	13	Elite Skirmisher	Monster Manual 1	94	Elite	Skirmisher
Eidolon	13	Controller	Monster Manual 1	101	Standard	Controller
Githyanki Mindslicer	13	Artillery	Monster Manual 1	128	Standard	Artillery
Githzerai Zerth	13	Elite Controller	Monster Manual 1	130	Elite	Controller
Gray Slaad (Rift Slaad)	13	Skirmisher	Monster Manual 1	238	Standard	Skirmisher
Grimlock Berserker	13	Brute	Monster Manual 1	148	Standard	Brute
Hellstinger Scorpion	13	Soldier	Monster Manual 1	229	Standard	Soldier
Helmed Horror	13	Soldier	Monster Manual 1	155	Standard	Soldier
Hook Horror	13	Soldier	Monster Manual 1	158	Standard	Soldier
Medusa Warrior	13	Elite Soldier	Monster Manual 1	186	Elite	Soldier
Minotaur Cabalist	13	Controller	Monster Manual 1	190	Standard	Controller
Mummy Lord	13	Elite Controller	Monster Manual 1	192	Elite	Controller
Nightmare	13	Skirmisher	Monster Manual 1	196	Standard	Skirmisher
Vrock (Demon)	13	Skirmisher	Monster Manual 1	58	Standard	Skirmisher
Yuan-Ti Malison Sharp-Eye	13	Artillery	Monster Manual 1	269	Standard	Artillery
Adult Copper Dragon	13	Solo Skirmisher	Monster Manual 2	78	Solo	Skirmisher
Centaur Mystic	13	Controller	Monster Manual 2	30	Standard	Controller
Drakkoth Ambusher	13	Skirmisher	Monster Manual 2	90	Standard	Skirmisher
Duergar Blackguard	13	Elite Soldier	Monster Manual 2	94	Elite	Soldier
Ghost Legionnaire	13	Soldier	Monster Manual 2	119	Standard	Soldier
Werewolf Lord (Lycanthrope)	13	Elite Brute	Monster Manual 2	160	Elite	Brute
Derro Warrior	13	Artillery	Monster Manual 3	49	Standard	Artillery
Green Slaad Madjack	13	Elite Controller	The Plane Below	142	Elite	Controller
Gnome Caravan Guard	13	Soldier	Underdark	142	Standard	Soldier
Blood Demon	13	Brute	Demonomicon	105	Standard	Brute
Malgodeemon Thug	13	Brute	Demonomicon	125	Standard	Brute
Battle Dragon, Adult	14	Elite Soldier	Draconomicon 1	190	Elite	Soldier
Razortalon	14	Soldier	Draconomicon 1	207	Standard	Soldier
Bronze Dragon, Adult	14	Solo Brute	Draconomicon 2	159	Solo	Brute
Ilvokula	14	Elite Brute	Draconomicon 2	120	Elite	Brute
Vanathia	14	Solo Soldier	Draconomicon 2	116	Solo	Soldier
War Shark	14	Skirmisher	Draconomicon 2	121	Standard	Skirmisher
Xyplinmens	14	Solo Brute	Draconomicon 2	122	Solo	Brute
Boneclaw	14	Soldier	Monster Manual 1	37	Standard	Soldier
Cyclops Impaler	14	Artillery	Monster Manual 1	46	Standard	Artillery
Cyclops Rambler	14	Skirmisher	Monster Manual 1	47	Standard	Skirmisher
Demonweb Terror (Spider)	14	Elite Controller	Monster Manual 1	247	Elite	Controller
Drider Fanglord	14	Brute	Monster Manual 1	93	Standard	Brute
Drider Shadowspinner	14	Skirmisher	Monster Manual 1	93	Standard	Skirmisher
Githzerai Mindmage	14	Artillery	Monster Manual 1	131	Standard	Artillery
Kuo-Toa Harpooner	14	Soldier	Monster Manual 1	172	Standard	Soldier
Lich, Human Wizard	14	Elite Controller	Monster Manual 1	176	Elite	Controller
Mind Flayer Infiltrator	14	Lurker	Monster Manual 1	188	Standard	Lurker
Night Hag	14	Lurker	Monster Manual 1	151	Standard	Lurker
Quickling Zephyr	14	Lurker	Monster Manual 1	215	Standard	Lurker
Roc	14	Elite Skirmisher	Monster Manual 1	220	Elite	Skirmisher
Roper	14	Elite Controller	Monster Manual 1	222	Elite	Controller
Salamander Lancer	14	Brute	Monster Manual 1	226	Standard	Brute
Shield Guardian	14	Soldier	Monster Manual 1	149	Standard	Soldier
Warthorn Battlebriar	14	Controller	Monster Manual 1	28	Standard	Controller
Winterclaw Owlbear	14	Elite Controller	Monster Manual 1	212	Elite	Controller
Yuan-Ti Abomination	14	Soldier	Monster Manual 1	270	Standard	Soldier
Adult Adamantine Dragon	14	Solo Soldier	Monster Manual 2	75	Solo	Soldier
Behir	14	Solo Soldier	Monster Manual 2	22	Solo	Soldier
Beholder Eye of Frost	14	Elite Artillery	Monster Manual 2	24	Elite	Artillery
Cyclops Crusher	14	Brute	Monster Manual 2	40	Standard	Brute
Deva Zealot	14	Skirmisher	Monster Manual 2	62	Standard	Skirmisher
Duergar Blasphemer	14	Controller	Monster Manual 2	94	Standard	Controller
Earth Archon Ground Rager	14	Controller	Monster Manual 2	14	Standard	Controller
Firbolg Moon Seer	14	Controller	Monster Manual 2	109	Standard	Controller
Human Gladiator	14	Elite Soldier	Monster Manual 2	145	Elite	Soldier
Shadar-Kai Dawnkiller	14	Lurker	Monster Manual 2	180	Standard	Lurker
Shadar-Kai Gloom Lord	14	Artillery	Monster Manual 2	180	Standard	Artillery
Stone Giant	14	Soldier	Monster Manual 2	124	Standard	Soldier
Winter Wolf	14	Skirmisher	Monster Manual 2	210	Standard	Skirmisher
Banesworn 'Var Priest	14	Controller (L)	The Plane Above	134	Standard	Controller (L)
Blue Slaad Digester	14	Elite Soldier	The Plane Below	143	Elite	Soldier
Iron Archon Interceptor	14	Soldier	The Plane Below	130	Standard	Soldier
Mud Archon Skulker	14	Lurker	The Plane Below	131	Standard	Lurker
Grimlock Bodyguard	14	Soldier	Underdark	144	Standard	Soldier
Spawn of Juiblex Plague Hurler	14	Artillery	Demonomicon	149	Standard	Artillery
Piscodemon	14	Controller	Demonomicon	136	Standard	Controller
Wendigo Soulcatcher	14	Controller	Demonomicon	153	Standard	Controller
Dragonborn Fire Adept	15	Controller	Draconomicon 1	215	Standard	Controller
Grayspawn Fleshreaver	15	Soldier	Draconomicon 1	220	Standard	Soldier
Mirage Dragon, Adult	15	Solo Controller	Draconomicon 1	196	Solo	Controller
Squamous Spitter	15	Solo Soldier	Draconomicon 1	230	Solo	Soldier
Thief of Life	15	Solo Skirmisher	Draconomicon 1	208	Solo	Skirmisher
Andracmos	15	Solo Artillery	Draconomicon 2	202	Solo	Artillery
Adult Red Dragon	15	Solo Soldier	Monster Manual 1	83	Solo	Soldier
Azer Rager	15	Brute	Monster Manual 1	22	Standard	Brute
Chimera	15	Elite Brute	Monster Manual 1	41	Elite	Brute
Destrachan Far Voice	15	Artillery	Monster Manual 1	59	Standard	Artillery
Drow Priest	15	Controller	Monster Manual 1	95	Standard	Controller
Githyanki Gish	15	Elite Skirmisher	Monster Manual 1	128	Elite	Skirmisher
Immolith (Demon)	15	Controller	Monster Manual 1	56	Standard	Controller
Rakshasa Archer	15	Artillery	Monster Manual 1	216	Standard	Artillery
Rakshasa Warrior	15	Soldier	Monster Manual 1	216	Standard	Soldier
Red Slaad (Blood Slaad)	15	Soldier	Monster Manual 1	238	Standard	Soldier
Salamander Archer	15	Artillery	Monster Manual 1	226	Standard	Artillery
Salamander Noble	15	Controller	Monster Manual 1	227	Standard	Controller
Thunderfury Boar	15	Brute	Monster Manual 1	35	Standard	Brute
Yuan-Ti Malison Incanter	15	Artillery	Monster Manual 1	269	Standard	Artillery
Adult Silver Dragon	15	Solo Brute	Monster Manual 2	86	Solo	Brute
Ambush Vine Shoot	15	Minion Controller	Monster Manual 2	204	Minion	Controller
Bristle Spider	15	Elite Lurker	Monster Manual 2	189	Elite	Lurker
Clay Golem	15	Elite Brute	Monster Manual 2	134	Elite	Brute
Couad Star Serpent	15	Elite Controller	Monster Manual 2	38	Elite	Controller
Drakkoth Rager	15	Elite Brute	Monster Manual 2	91	Elite	Brute
Firbolg Bloodbear	15	Elite Brute	Monster Manual 2	109	Elite	Brute
Herald of Hadar (Star Spawn)	15	Brute	Monster Manual 2	196	Standard	Brute
Maw of Acamar (Star Spawn)	15	Controller	Monster Manual 2	196	Standard	Controller
Nothic Cackler	15	Artillery	Monster Manual 2	168	Standard	Artillery
Pod Demon	15	Elite Artillery	Monster Manual 2	58	Elite	Artillery
Podspawn (Demon)	15	Minion Skirmisher	Monster Manual 2	59	Minion	Skirmisher
Shadar-Kai Painbearer	15	Skirmisher	Monster Manual 2	181	Standard	Skirmisher
Water Archon Tide Strider	15	Skirmisher	Monster Manual 2	18	Standard	Skirmisher
Lnrker	15	Minion Artillery	Monster Manual 3	15	Minion	Artillery
Kuo-Toa Leviathan	15	Elite Brute	Underdark	149	Elite	Brute
Yagnodemon	15	Soldier	Demonomicon	154	Standard	Soldier
Bonespitter	16	Artillery	Draconomicon 1	207	Standard	Artillery
Brown Dragon, Elder	16	Solo Lurker	Draconomicon 1	170	Solo	Lurker
Icewrought Dracolich	16	Solo Controller	Draconomicon 1	201	Solo	Controller
Indomitable Bulwark	16	Soldier	Draconomicon 1	228	Standard	Soldier
Roper Lasher	16	Elite Controller	Draconomicon 1	130	Elite	Controller
Gold Hollow Dragon	16	Solo Brute	Draconomicon 2	184	Solo	Brute
Blackspawn Gloomweb	16	Lurker	Monster Manual 1	88	Standard	Lurker
Bodak Skulk	16	Lurker	Monster Manual 1	36	Standard	Lurker
Bone Naga	16	Elite Controller	Monster Manual 1	194	Elite	Controller
Cyclops Hewer	16	Soldier	Monster Manual 1	47	Standard	Soldier
Earth Titan (Giant)	16	Elite Brute	Monster Manual 1	122	Elite	Brute
Guulvorg (Worg)	16	Elite Brute	Monster Manual 1	265	Elite	Brute
Ice Archon Hailscourge	16	Artillery	Monster Manual 1	20	Standard	Artillery
Kuo-Toa Monitor	16	Skirmisher	Monster Manual 1	172	Standard	Skirmisher
Kuo-Toa Whip	16	Controller	Monster Manual 1	173	Standard	Controller
Purple Worm	16	Solo Soldier	Monster Manual 1	214	Solo	Soldier
Savage Minotaur	16	Brute	Monster Manual 1	191	Standard	Brute
Shadow Snake	16	Skirmisher	Monster Manual 1	240	Standard	Skirmisher
Sphinx	16	Elite Soldier	Monster Manual 1	245	Elite	Soldier
Treant	16	Elite Controller	Monster Manual 1	251	Elite	Controller
Ambush Vine	16	Elite Controller	Monster Manual 2	204	Elite	Controller
Diamondhide Xorn	16	Skirmisher	Monster Manual 2	215	Standard	Skirmisher
Drakkoth Venomshot	16	Artillery	Monster Manual 2	91	Standard	Artillery
Earth Archon Seismic Striker	16	Soldier	Monster Manual 2	14	Standard	Soldier
Fey-Knight Vestige (Fey Lingerer)	16	Lurker	Monster Manual 2	106	Standard	Lurker
Firbolg Ghostraven	16	Elite Lurker	Monster Manual 2	110	Elite	Lurker
Fomorian Ghost Shaman	16	Elite Controller	Monster Manual 2	112	Elite	Controller
Lingerer Knight (Fey Lingerer)	16	Elite Soldier	Monster Manual 2	106	Elite	Soldier
Neogi Great Old Master	16	Controller	Monster Manual 2	166	Standard	Controller
Prismatic Shard (Chaos Shard)	16	Artillery	Monster Manual 2	35	Standard	Artillery
Razor Hydra	16	Solo Brute	Monster Manual 2	150	Solo	Brute
Stone Giant Runecarver	16	Controller	Monster Manual 2	125	Standard	Controller
Water Archon Waveshaper	16	Controller	Monster Manual 2	18	Standard	Controller
Winter Wolf Snowfang	16	Lurker	Monster Manual 2	210	Standard	Lurker
Consumptive Parasite	16	Minion Skirmisher	The Plane Below	133	Minion	Skirmisher
Iron Archon Crescent Blade	16	Skirmisher	The Plane Below	130	Standard	Skirmisher
Incunabulum Cursebringer	16	Artillery	Underdark	146	Standard	Artillery
Incunabulum Slayer	16	Lurker	Underdark	146	Standard	Lurker
Hydrodaemon	16	Skirmisher	Demonomicon	117	Standard	Skirmisher
Ruin Demon	16	Skirmisher	Demonomicon	140	Standard	Skirmisher
Aspect of Tiamat	17	Solo Brute	Draconomicon 1	246	Solo	Brute
Azer Beastmaster	17	Soldier	Draconomicon 1	138	Standard	Soldier
Deathless Hunger	17	Elite Soldier	Draconomicon 1	206	Elite	Soldier
Dragonborn Bloodreaver	17	Skirmisher	Draconomicon 1	215	Standard	Skirmisher
Gray Wing Vrock	17	Skirmisher	Draconomicon 1	157	Standard	Skirmisher
Icy Wrath	17	Brute	Draconomicon 1	228	Standard	Brute
Purplespawn Nightmare	17	Lurker	Draconomicon 1	220	Standard	Lurker
Wretch Dragon, Adult	17	Elite Brute	Draconomicon 1	197	Elite	Brute
Aboleth Lasher	17	Brute	Monster Manual 1	8	Standard	Brute
Aboleth Slime Mage	17	Artillery	Monster Manual 1	8	Standard	Artillery
Azer Beastlord	17	Soldier	Monster Manual 1	23	Standard	Soldier
Azer Taskmaster	17	Controller	Monster Manual 1	23	Standard	Controller
Battle Guardian	17	Controller	Monster Manual 1	149	Standard	Controller
Blue Slaad (Talon Slaad)	17	Brute	Monster Manual 1	238	Standard	Brute
Cyclops Battleweaver	17	Skirmisher	Monster Manual 1	48	Standard	Skirmisher
Cyclops Storm Shaman	17	Artillery	Monster Manual 1	48	Standard	Artillery
Death Knight, Human	17	Elite Soldier	Monster Manual 1	50	Elite	Soldier
Elder White Dragon	17	Solo Brute	Monster Manual 1	85	Solo	Brute
Enormous Carrion Crawler	17	Elite Controller	Monster Manual 1	40	Elite	Controller
Fomorian Warrior	17	Elite Soldier	Monster Manual 1	110	Elite	Soldier
Rakshasa Assassin	17	Skirmisher	Monster Manual 1	217	Standard	Skirmisher
Shadow Hulk (Umber Hulk)	17	Solo Soldier	Monster Manual 1	256	Solo	Soldier
Stone Golem	17	Elite Soldier	Monster Manual 1	142	Elite	Soldier
Sword Wraith	17	Lurker	Monster Manual 1	267	Standard	Lurker
Yuan-Ti Malison	17	Controller	Monster Manual 1	270	Standard	Controller
Adult Gold Dragon	17	Solo Controller	Monster Manual 2	81	Solo	Controller
Coure of Mischief and Strife	17	Lurker	Monster Manual 2	97	Standard	Lurker
Earth Archon Rumbler	17	Brute	Monster Manual 2	14	Standard	Brute
Fomorian Cackler	17	Elite Lurker	Monster Manual 2	112	Elite	Lurker
Frost Giant	17	Brute	Monster Manual 2	122	Standard	Brute
Nyfellar Mammoth	17	Brute	Monster Manual 2	161	Standard	Brute
Rime Hound (Winter Wolf)	17	Elite Skirmisher	Monster Manual 2	211	Elite	Skirmisher
Scion of Gibbeth (Star Spawn)	17	Controller	Monster Manual 2	197	Standard	Controller
Slaad Spawn	17	Minion Skirmisher	Monster Manual 2	185	Minion	Skirmisher
Storm Archon Squallshield	17	Soldier	Monster Manual 2	16	Standard	Soldier
Incunabulum Keeper	17	Soldier (L)	Underdark	146	Standard	Soldier (L)
Rageborn Frosthurler	17	Artillery	Demonomicon	138	Standard	Artillery
Zovvut	17	Skirmisher	Demonomicon	155	Standard	Skirmisher
Rageborn Barbedclaw	17	Soldier	Demonomicon	139	Standard	Soldier
Gray Dragon, Elder	18	Solo Soldier	Draconomicon 1	174	Solo	Soldier
Tempest Dragon, Elder	18	Solo Soldier	Draconomicon 1	193	Solo	Soldier
Adult	18	Solo Skirmisher	Draconomicon 2	167	Solo	Skirmisher
